"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Login test for locked out user","chromium","Mon Jun 02 00:50:56 GMT 2025","passed","Mon Jun 02 00:50:57 GMT 2025","Login flow – data driven","excel.spec.ts","",""
"","8825","file upload using filechooser","chromium","Mon Jun 02 00:50:58 GMT 2025","passed","Mon Jun 02 00:51:07 GMT 2025","","filechooser.spec.ts","",""
"","0","should upload the test.txt file to S3","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","S3 Service Upload","s3Upload.spec.ts","",""
"","30657","should allow me to display all items","chromium","Mon Jun 02 00:50:21 GMT 2025","failed","Mon Jun 02 00:50:52 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","0","Extract OTP code from email","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","Email integration tests","mailinator.spec.ts","",""
"","30685","should respect the back button","chromium","Mon Jun 02 00:47:10 GMT 2025","failed","Mon Jun 02 00:47:41 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","0","Verify email count in user inbox","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","Email integration tests","mailinator.spec.ts","",""
"","30656","should allow me to display completed items","chromium","Mon Jun 02 00:48:46 GMT 2025","failed","Mon Jun 02 00:49:16 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","0","Verify email content","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","Email integration tests","mailinator.spec.ts","",""
"","524","Login test for no password","chromium","Mon Jun 02 00:50:57 GMT 2025","passed","Mon Jun 02 00:50:58 GMT 2025","Login flow – data driven","excel.spec.ts","",""
"","853","should highlight the currently applied filter","chromium","Mon Jun 02 00:50:53 GMT 2025","passed","Mon Jun 02 00:50:54 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","859","has title","chromium","Mon Jun 02 00:50:55 GMT 2025","passed","Mon Jun 02 00:50:55 GMT 2025","","example.spec.ts","",""
"","0","Geolocation example","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","","geolocation.spec.ts","",""
"","1","should fetch status for a known feature flag","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","LaunchDarkly Service","launchdarkly.spec.ts","",""
"","515","Login test for no user name","chromium","Mon Jun 02 00:50:57 GMT 2025","passed","Mon Jun 02 00:50:57 GMT 2025","Login flow – data driven","excel.spec.ts","",""
"","0","should upload a specific text file","chromium","Mon Jun 02 00:51:07 GMT 2025","skipped","Mon Jun 02 00:51:07 GMT 2025","SFTP Service","sftpUpload.spec.ts","",""
"","30670","should allow me to display active items","chromium","Mon Jun 02 00:45:35 GMT 2025","failed","Mon Jun 02 00:46:06 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","638","Login test for invalid password","chromium","Mon Jun 02 00:50:56 GMT 2025","passed","Mon Jun 02 00:50:56 GMT 2025","Login flow – data driven","excel.spec.ts","",""
